vif,deg,MSE
1,1,0.21669054758575446
1,3,0.24047316017948842
1,4,0.24419958683650764
2,1,0.21689998147778497
2,2,0.23214223330113215
2,3,0.24320801419600083
2,4,0.24997492763844628
3,1,0.22799999309125446
3,2,0.24097562688733376
3,3,0.2428327298570512
3,4,0.2377691636416699
4,1,0.23852476872736028
4,2,0.23805507913375568
4,3,0.24129150722955583
4,4,0.24884665182064006
5,1,0.23119748621685307
5,2,0.2477836659000125
5,3,0.2488666646733503
5,4,0.24885722346972639
6,1,0.22748238076884802
6,2,0.24206653333808253
6,3,0.24080495916712663
7,1,0.21772572068290477
7,2,0.2320354484425345
7,3,0.23852021766591255
7,4,0.2453836139491314
8,1,0.21784906212238844
8,2,0.2421370532590823
8,3,0.24413849650868025
8,4,0.24880422041361597
9,1,0.22361285955358404
9,2,0.22892810870861074
9,3,0.23056690174725705
9,4,0.248789069846556
10,1,0.21078000985236225
10,2,0.23164951566450456
10,3,0.24243499981993766
10,4,0.24501007327256444